journal_name,SJR,H_ind,Total_Cites,Formats,Publisher_Ulrichs,Country _Ulrichs,Start_Year_Ulrichs,Age,Frequency_Ulrichs,Text_in_Ulrichs,Open_Access_Ulrichs,Serial_Type_Ulrichs,Description_Ulrichs,Subject_Ulrichs,Broad_Subject,
Aarboeger for Nordisk Oldkyndighed og Historie,NA,NA,NA,Print,Det Kongelige Nordiske Oldskriftselskab,Denmark,1837,183,Annual,Danish,Not listed,Yearbook,NA,HISTORY - HISTORY OF EUROPE,Other,
Acta Archaeologica,0.13,11,3,Print/Online,"Wiley-Blackwell Publishing, Inc.",United States,1930,90,Annual,"Italian, French, German, English",Not listed,Yearbook,NA,ARCHAEOLOGY,Archaeology,
Advances in Archaeological Method and Theory,NA,NA,NA,Print,Springer New York LLC,United States,1978,42,Quarterly,English,Not listed,Journal,"Presents original articles that critically assess and integrate research on a specific subject in archaeological method and theory, including topics in the history of archaeology, significant explorations, and relevant case studies.",ARCHAEOLOGY,Archaeology,
Advances in Archaeological Practice,NA,NA,NA,Online,Cambridge University Press,United States,2013,7,Quarterly,English,Not listed,Journal,NA,"ANTHROPOLOGY, ARCHAEOLOGY",Archaeology,
African Archaeological Review,0.94,31,163,Print/Online/Microform,Springer New York LLC,United States,1983,37,Semi-annually,English,Not listed,Journal,"Publishes articles on all aspects of the archaeology of Africa and neighboring islands, including new field data and discussions of interregional processes, cultural transitions, and Africa's place in world archaeology.","ARCHAEOLOGY, HISTORY - HISTORY OF AFRICA",Archaeology,
American Anthropologist,1.03,77,340,Print/Online,American Anthropological Association,United States,1888,132,X,English,Not listed,Journal,NA,ANTHROPOLOGY,Other,
American Antiquity,1.24,67,278,Print/Online/Microform,Cambridge University Press,United States,1935,85,Quarterly,English,Not listed,Journal,"Publishes original articles on the archaeology of the New World and related topics, along with research reports and commentary.",ARCHAEOLOGY,Archaeology,
American Journal of Archaeology,0.49,26,62,Print/Online/Microform,Archaeological Institute of America (Boston),United States,1885,135,Quarterly,English,Not listed,Journal,Contains scholarly essays on archaeology of ancient Europe and the Mediterranean from prehistoric times to late antiquity.,ARCHAEOLOGY,Archaeology,
American Journal of Human Biology,0.72,74,585,Print/Online,"John Wiley & Sons, Inc. ",United States,1989,31,Bi-monthly,English,Not listed,Journal,"Brings out reports of research, theoretical articles and timely reviews, and brief communications in the interdisciplinary field of human biology.",BIOLOGY,Other,
American Journal of Physical Anthropology,1.28,108,1661,Print/Online/Microform,"John Wiley & Sons, Inc. ",United States,1918,102,Quarterly,English,Not listed,Journal,"Provides information on human evolution and variation, including primate morphology, physiology, genetics, adaptation, growth, development, and behavior past and present.",ANTHROPOLOGY,Other,
American Schools of Oriental Research. Bulletin,0.61,11,59,Print/Online/Microform,University of Chicago Press,United States,1919,101,Semi-annually,English,Not listed,Journal,"Presents technical reports of original research and ASOR-sponsored excavations, and reviews of current scholarship in the field.","ASIAN STUDIES, HISTORY - HISTORY OF THE NEAR EAST",Other,
