ID_Raw,ID_Trim,Gender,Age,Nationality,Language_Native,Language_Publish,Career,Nation_Degree,Nation_Employ,Q4 (Comments)
61,1,Female,40-49,USA,English,English,Other,USA,USA,
420,2,Female,40-49,USA,English,English,Master's Student,USA,USA,
68,3,Male,40-49,USA,English,English,Full Professor,USA,USA,
67,4,Female,40-49,USA,English,English,Master's Student,USA,USA,No.
66,5,Female,40-49,USA,English,English,Associate Professor,USA,USA,
241,6,Female,18-29,USA,English,Multiple,PhD Student,USA,USA,
319,7,Female,30-39,USA,English,English,PhD Student,USA,USA,
27,8,Female,30-39,USA,English,English,Other,USA,USA,
46,9,Male,40-49,USA,English,English,Associate Professor,USA,USA,
48,10,Male,40-49,USA,English,English,Associate Professor,USA,USA,
56,11,Male,30-39,USA,English,English,Other,USA,USA,
73,12,Female,30-39,USA,English,English,Post-Doc,USA,USA,
206,13,Male,18-29,USA,English,English,PhD Student,USA,USA,
218,14,Female,30-39,USA,English,English,Assistant Professor,USA,USA,"Variation in where I have published before, perceived fit of topic/style to journal"
222,15,Female,18-29,USA,English,English,PhD Student,USA,USA,
236,16,Female,30-39,USA,English,English,Assistant Professor,USA,USA,
239,17,Male,40-49,USA,English,English,Associate Professor,USA,USA,
296,18,Male,50-59,Canada,English,French,Full Professor,USA,Canada,"Language - I need/must publish in French and also in Spanish at times.  Also, it is very important for me to support national and regional journals since I do not believe that these international ""high caliber"" journals support regional research and regularly reject articles considered to be too ""local""."
299,19,Male,40-49,Canada,French,English,Associate Professor,USA,Canada,"Whether or not a paper is technical, methodological or theoretical, as opposed to presenting new results will also have a big impact on where I decide to submit, since different journals value these considerations differently. If you work internationally, you may also face pressure/need to publish at least occasionally in regional, non-English-language journals in order to cultivate professional capital in your research area. This also goes for whether you work in an English-language setting or not: generally, I feel it's expected to publish in high-visibility, English-language journals, but you might face pressure to publish in your country's language to cultivate local goodwill. "
305,20,Female,50-59,USA,English,English,Full Professor,USA,USA,
307,21,Female,50-59,USA,English,English,Full Professor,USA,USA,No
314,22,Male,50-59,USA,English,English,Other,USA,USA,N/A
318,23,Male,60-69,USA,English,English,Full Professor,USA,USA,
